         612 function calls (607 primitive calls) in 0.002 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/utils/_array_api.py:473(get_namespace)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/logging/__init__.py:1137(flush)
        4    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/utils/validation.py:2205(_is_pandas_df)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/utils/_array_api.py:412(reshape)
        2    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/warnings.py:168(simplefilter)
        2    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/numpy/core/fromnumeric.py:200(reshape)
        2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/numpy/core/fromnumeric.py:95(take)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/logging/__init__.py:1611(findCaller)
        2    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/warnings.py:184(_add_filter)
        2    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/pipeline.py:49(check)
        2    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/utils/_array_api.py:235(supported_float_dtypes)
        2    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/utils/validation.py:311(_num_features)
       12    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'take' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/model_selection/_search.py:352(_check_refit)
        4    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/logging/__init__.py:200(_is_internal_frame)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/pydantic/main.py:899(_check_frozen)
       12    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/_config.py:24(_get_threadlocal_config)
       47    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _asyncio.current_task}
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:169(basename)
